Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",58.547000,-84.201000,0.000000,top
"C3","100n","C_0603_1608Metric",66.548000,-62.611000,90.000000,top
"C4","100n","C_0603_1608Metric",55.626000,-59.817000,90.000000,top
"C5","100n","C_0603_1608Metric",67.183000,-77.724000,270.000000,top
"C6","100n","C_0603_1608Metric",67.310000,-101.727000,90.000000,top
"C7","100n","C_0603_1608Metric",49.784000,-113.411000,90.000000,top
"C8","100n","C_0603_1608Metric",67.310000,-131.445000,90.000000,top
"C9","100n","C_0603_1608Metric",49.530000,-83.185000,90.000000,top
"C10","10n","C_0603_1608Metric",64.135000,-93.345000,180.000000,top
"C11","10n","C_0603_1608Metric",53.340000,-110.109000,180.000000,top
"C12","10n","C_0603_1608Metric",64.389000,-123.952000,180.000000,top
"C13","10n","C_0603_1608Metric",52.578000,-78.867000,270.000000,top
"R1","3k","R_0603_1608Metric",61.214000,-86.487000,90.000000,top
"R2","220R","R_0603_1608Metric",52.832000,-54.610000,0.000000,top
"R3","220R","R_0603_1608Metric",51.816000,-52.832000,180.000000,top
"R4","10k","R_0603_1608Metric",58.547000,-82.423000,0.000000,top
"R5","7.5k","R_0603_1608Metric",57.150000,-78.232000,270.000000,top
"R6","220R","R_0603_1608Metric",53.340000,-63.881000,0.000000,top
"R7","10R","R_0603_1608Metric",58.928000,-42.164000,90.000000,top
"R8","10R","R_0603_1608Metric",60.452000,-49.784000,90.000000,top
"R9","220R","R_0603_1608Metric",59.970000,-55.118000,180.000000,top
"R10","10R","R_0603_1608Metric",60.452000,-42.164000,270.000000,top
"R11","10R","R_0603_1608Metric",66.294000,-69.088000,270.000000,top
"R12","10R","R_0603_1608Metric",67.310000,-74.168000,270.000000,top
"R13","10k","R_0603_1608Metric",63.246000,-90.932000,90.000000,top
"R14","10k","R_0603_1608Metric",51.689000,-102.362000,90.000000,top
"R15","10k","R_0603_1608Metric",64.389000,-122.301000,0.000000,top
"R16","10k","R_0603_1608Metric",55.499000,-75.438000,0.000000,top
"R17","56k","R_0603_1608Metric",64.135000,-94.869000,180.000000,top
"R18","56k","R_0603_1608Metric",53.340000,-108.585000,180.000000,top
"R19","56k","R_0603_1608Metric",64.389000,-125.476000,180.000000,top
"R20","56k","R_0603_1608Metric",54.102000,-78.867000,270.000000,top
"R21","220R","R_0603_1608Metric",53.213000,-106.045000,0.000000,top
"R22","220R","R_0603_1608Metric",66.421000,-118.618000,180.000000,top
"R23","220R","R_0603_1608Metric",66.802000,-136.906000,90.000000,top
"R24","220R","R_0603_1608Metric",67.310000,-87.503000,90.000000,top
"R25","10k","R_0603_1608Metric",54.864000,-104.013000,180.000000,top
"R26","10k","R_0603_1608Metric",63.119000,-118.618000,0.000000,top
"R27","10k","R_0603_1608Metric",67.056000,-126.619000,90.000000,top
"R28","10k","R_0603_1608Metric",52.451000,-90.424000,270.000000,top
"R29","220R","R_0603_1608Metric",60.096500,-63.500000,180.000000,top
"U1","LM4040DBZ-2.5","SOT-23",58.547000,-86.741000,90.000000,top
"U2","SN74LVC1G17DBV","SOT-353_SC-70-5",63.500000,-62.357000,90.000000,top
"U3","HCPL-0631","SOIC-8_3.9x4.9mm_P1.27mm",52.070000,-59.309000,180.000000,top
"U4","DAC7554IDGS","MSOP-10_3x3mm_P0.5mm",62.484000,-76.962000,270.000000,top
"U5","TL072","SOIC-8_3.9x4.9mm_P1.27mm",63.500000,-99.949000,180.000000,top
"U6","TL072","SOIC-8_3.9x4.9mm_P1.27mm",53.340000,-115.189000,180.000000,top
"U7","TL072","SOIC-8_3.9x4.9mm_P1.27mm",63.500000,-130.429000,180.000000,top
"U8","TL072","SOIC-8_3.9x4.9mm_P1.27mm",53.086000,-84.709000,180.000000,top
